1)   Gender,2)    Age,3)    Education Level,4)   Major,5)  administrative regions,"6)  How often do you use the Internet and Internet-related services? (E.g. Email, WhatsApp, News, YouTube",7) What are your Internet/ Digital devices skills level?,"8)   Of the following, which digital devices do you use regularly? Tick all that apply",9)  What type of connectivity services do you use in your daily activities? Tick all that apply,10)  For what purposes do you use the Internet? Tick all that apply,"20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each   [I am concerned about identity theft (somebody stealing your personal data and impersonating you, e.g. tweeting under your name)]",20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am not concerned about accidentally encountering child pornography online],"20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about receiving phishing emails (e.g. asking for money, personal information or bank account details]",20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about not being able to access online services (e.g. banking services) because of cyber attacks],20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about accidentally encountering material that promotes hatred or religious extremism],"20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [Online extortion (a demand for money to avert or stop extortion, or to avert scandal)]","Other, please specify","22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [The government]","22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [The media]","22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [Those offering online/Internet-based services (e.g. banks, online retailers, telecommunication companies, etc.)]","22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [User itself]","22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [Education system]","Other, please specify.1","A. If Yes, When you had been a victim of cyber crime, did you report it?","If Yes, To whom did you report or contact?  (Please check all that apply)","If No, What was/were the reason/s? (Please check all that apply)","If Yes, To whom would you report or contact?  (Please check all that apply)","If No, What is/are the reason/s? (Please check all that apply)"
Male,18-29,"Undergraduate (Diploma, BSc)",Social Science,Eastern Province,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Social networks,Do not know,Sometimes,Do not know,Do not know,Do not know,Do not know,,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,,No, ,Not sure,,Not sure
Female,18-29,,,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Entertainment",Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Saudi eGovernment Portal ,
Female,18-29,"Undergraduate (Diploma, BSc)",Finance,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone",Private Wi-Fi (e.g. in your home),"Education, Social networks, Online services, Communication",Always,Sometimes,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,,I fixed the problem by myself,,I am not sure what the impact on me will be
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Eastern Province,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,"Saudi eGovernment Portal , Saudi CERT",
Male,40-49,"Postgraduate (Masters, PhD)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)",   Desktop,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Always,Do not know,Always,Always,Do not know,Do not know,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Police",
Female,40-49,"Undergraduate (Diploma, BSc)",Arabic Language,Eastern Province,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Professional reasons,Somtimes,Always,Sometimes,Always,Always,Always,,Agree,Disagree,Agree,Agree,Agree,,,,,Dont know but will ask friends for advice,
Male,40-49,"Postgraduate (Masters, PhD)",Business Administration,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","   Desktop, Laptop, Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Always,Do not know,Sometimes,Do not know,Sometimes,Never,,Strongly Agree,Agree,Strongly Agree,Agree,Agree,,Yes,Bank,,,Not sure
Male,40-49,"Postgraduate (Masters, PhD)",Business Administration,Eastern Province,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","   Desktop, Laptop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),"Social networks, Online services, Communication",Always,Never,Never,Always,Always,Sometimes,,Agree,Agree,Agree,Agree,Agree,,,,,Saudi eGovernment Portal ,
Male,40-49,"Postgraduate (Masters, PhD)",Business Administration,Eastern Province,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","   Desktop, Laptop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),"Social networks, Online services, Communication",Always,Never,Never,Always,Always,Sometimes,,Agree,Agree,Agree,Agree,Agree,,,,,Saudi eGovernment Portal ,
Male,50+,"Postgraduate (Masters, PhD)",,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Online services",Somtimes,Always,Always,Sometimes,Sometimes,Sometimes,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,No,,Not sure,,I do not know who to write report about cyber crime
Male,40-49,High School,Engineering,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Always,Do not know,Always,Always,Always,Sometimes,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Saudi CERT,
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Madina,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Always,Do not know,Always,Do not know,Always,Do not know,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Dont know but will ask friends for advice,
Male,40-49,"Undergraduate (Diploma, BSc)",Islamic studies,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Private Wi-Fi (e.g. in your home),Social networks,Never,Always,Always,Never,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,,,Saudi CERT,
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Private Wi-Fi (e.g. in your home),Social networks,Always,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Saudi CERT,
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Riyadh,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Online services",Always,Do not know,Always,Always,Sometimes,Do not know,,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,,,,Dont know but will ask friends for advice,
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Once or twice a day ,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Social networks,Always,Sometimes,Always,Sometimes,Always,Sometimes,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,Not sure
Female,30-39,"Undergraduate (Diploma, BSc)",Medicine or public health,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,,,,,,I am not sure what the impact on me will be
Male,50+,"Undergraduate (Diploma, BSc)",Education,Eastern Province,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)",  Smartphone,Public Wi-Fi (e.g. in coffee shop),Education,Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,,,,,Saudi eGovernment Portal ,
Female,18-29,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","   Desktop, Smartphone",Private Wi-Fi (e.g. in your home),"Education, Social networks, Communication",Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Committee for the Promotion of Virtue and the Prevention of Vice,,,I will fix the problem by myself
Female,40-49,"Postgraduate (Masters, PhD)",Education,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Communication",Always,Always,Do not know,Do not know,Do not know,Do not know,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Apple store,,,I will fix the problem by myself
Male,40-49,"Undergraduate (Diploma, BSc)",Education,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,Yes,Don't remember,,,I think that there will no value of reporting
Female,18-29, , ,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Never,Always,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,,"I did not know what the impact on me will be, I did not know how to describe or write reports about cyber crime , I feel it is waste of time, I think that there is no value of reporting",,Not sure
Male,40-49,"Undergraduate (Diploma, BSc)",Aviation,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Always,Never,Sometimes,Always,Always,Always,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,,"Not sure, Other-tried to send a message to 330330 but could not ",,I do not know who to write report about cyber crime
Male,18-29,"Undergraduate (Diploma, BSc)",Languages,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Social networks,Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Committee for the Promotion of Virtue and the Prevention of Vice,,,I do not know what the crime means
Male,30-39,"Undergraduate (Diploma, BSc)",Islamic economy ,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","   Desktop, Laptop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Increae Awarness,,,,"Saudi CERT, Police, Dont know but will ask friends for advice",
Male,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Education, Social networks, Online services, Communication",Always,Never,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Dont know but will ask friends for advice,
Female,30-39,"Postgraduate (Masters, PhD)",Education,Northern Borders,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone",Private Wi-Fi (e.g. in your home),"Education, Communication",Always,Always,Always,Always,Always,Always,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Dont know but will ask friends for advice,
Female,30-39,"Postgraduate (Masters, PhD)",Languages,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Online services, Communication",Always,Do not know,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,,,,,Dont know but will ask friends for advice,
Male,30-39,"Postgraduate (Masters, PhD)",Engineering,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet",Private Wi-Fi (e.g. in your home),"Education, Online services, Communication",Always,Sometimes,Always,Always,Always,Always,,Agree,Agree,Agree,Agree,Agree,,No,,I fixed the problem by myself,,I do not know who to write report about cyber crime
Male,18-29,"Postgraduate (Masters, PhD)",Medicine or public health,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Do not know,Sometimes,Always,Always,Always,Always,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Police,
Female,18-29,"Undergraduate (Diploma, BSc)",Biology   ,Riyadh,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone",Private Wi-Fi (e.g. in your home),"Education, Social networks, Online services, Communication",Always,Do not know,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Saudi CERT, Police",
Male,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Entertainment, Communication",Never,Always,Sometimes,Always,Always,Sometimes,,Agree,Agree,Agree,Agree,Agree,,,,,"Saudi eGovernment Portal , Police",
Male,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Never,Never,Always,Always,Never,Never,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,,,Dont know but will ask friends for advice,
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Once or twice a day ,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Online services, Entertainment",Somtimes,Do not know,Sometimes,Sometimes,Sometimes,Sometimes,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,,,Dont know but will ask friends for advice,
Male,40-49,"Undergraduate (Diploma, BSc)",Computer Science,Eastern Province,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","   Desktop, Laptop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Online services, Communication",Always,Do not know,Always,Do not know,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Saudi eGovernment Portal ,,,I do not know who to write report about cyber crime
Male,30-39,"Postgraduate (Masters, PhD)",Computer Science,Riyadh,Once or twice a day ,"Expert (e.g. computer engineering, database administration, network engineering)",     Laptop,Private Wi-Fi (e.g. in your home),Education,Always,Always,Never,Never,Never,Never,,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,,,,,Dont know but will ask friends for advice,
Male,30-39,"Postgraduate (Masters, PhD)",Education,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Always,Always,Sometimes,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,,I fixed the problem by myself,,I will fix the problem by myself
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Always,Sometimes,Always,Always,Sometimes,Sometimes,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Saudi CERT, Police",
Male,40-49,"Undergraduate (Diploma, BSc)",Mechanic- Prpducing Department,Eastern Province,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",  Smartphone,Private Wi-Fi (e.g. in your home),Social networks,Always,Never,Always,Sometimes,Sometimes,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Specilist,,,I am not sure what the impact on me will be
Male,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,Always,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,,,"Saudi eGovernment Portal , Saudi CERT, Police",
Male,50+,"Undergraduate (Diploma, BSc)",Education,Eastern Province,Once or twice a day ,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",   Desktop,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Online services, Communication",Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Dont know but will ask friends for advice",
Male,18-29,"Undergraduate (Diploma, BSc)",Business Administration,Jazan,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Entertainment, Communication",Always,Do not know,Always,Always,Always,Sometimes,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,,,,Dont know but will ask friends for advice,
Male,30-39,"Undergraduate (Diploma, BSc)",Business Administration,Eastern Province,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Saudi CERT, Police, Committee for the Promotion of Virtue and the Prevention of Vice",
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Madina,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Always,Do not know,Always,Always,Always,Always,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Saudi CERT, Police",
Female,40-49,"Undergraduate (Diploma, BSc)",Education,Eastern Province,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Communication",Always,Do not know,Never,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,,,"Saudi eGovernment Portal , Dont know but will ask friends for advice",
Male,40-49,High School,Islamic-studies,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Saudi eGovernment Portal ,
Male,30-39,"Undergraduate (Diploma, BSc)", ,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Social networks,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Dont know but will ask friends for advice,
Male,40-49,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services",Always,Always,Always,Always,Always,Always,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,,,,,Saudi CERT,
Male,30-39,"Postgraduate (Masters, PhD)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet",Mobile/cellular phone network (e.g. 3G/4G),"Professional reasons, Social networks, Online services, Communication",Always,Always,Always,Always,Always,Always,,Agree,Agree,Strongly Agree,Agree,Agree,,No,,I did not trust the third party,,Not sure
Male,18-29,"Undergraduate (Diploma, BSc)",Islamic studies,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Private Wi-Fi (e.g. in your home),Social networks,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,"Saudi CERT, Committee for the Promotion of Virtue and the Prevention of Vice",
Male,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Always,Do not know,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Saudi CERT",
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Riyadh,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","   Desktop, Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Social networks, Online services, Communication",Never,Sometimes,Do not know,Never,Do not know,Do not know,,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,,,,Police,
Male,18-29,High School,Languages,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Entertainment",Always,Never,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,No,,"I did not know what the crime was , I did not know who to write report about cyber crime, I fixed the problem by myself",,I do not know what the crime means
Male,40-49,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Do not know,Always,Never,Do not know,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Saudi eGovernment Portal ,
Male,40-49,High School,,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Social networks,Always,Always,Always,Always,Always,Never,,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,,,,,Saudi eGovernment Portal ,
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Madina,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",  Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Entertainment, Communication",Always,Always,Always,Always,Always,Always,,Agree,Agree,Agree,Agree,Agree,,,,,"Saudi eGovernment Portal , Saudi CERT, Police, Committee for the Promotion of Virtue and the Prevention of Vice",
