1)   Gender,2)    Age,3)    Education Level,4)   Major,5)  administrative regions,"6)  How often do you use the Internet and Internet-related services? (E.g. Email, WhatsApp, News, YouTube",7) What are your Internet/ Digital devices skills level?,"8)   Of the following, which digital devices do you use regularly? Tick all that apply",9)  For what purposes do you use the Internet? Tick all that apply,"10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each   [I am concerned about identity theft (somebody stealing your personal data and impersonating you, e.g. tweeting under your name)]","10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about receiving phishing emails (e.g. asking for money, personal information or bank account details]",10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about not being able to access online services (e.g. banking services) because of cyber attacks],10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about accidentally encountering material that promotes hatred or religious extremism],"10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [Online extortion (a demand for money to avert or stop extortion, or to avert scandal)]","Other, please specify","Other, please specify.1","11) Have you been a victim of cyber crime? (E.g. lost data or email account, device infected with virus or spyware, stole your picture/s or digital device/s).","If Yes, To whom did you report or contact?  (Please check all that apply)","If No, What was/were the reason/s? (Please check all that apply)","If Yes, To whom would you report or contact?  (Please check all that apply)","If No, What is/are the reason/s? (Please check all that apply)"
Female,30-39,"Undergraduate (Diploma, BSc)",Education.,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Professional reasons, Education, Social networks, Online services, Communication",Never,Always,Always,Always,Always,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Female,18-29,"Undergraduate (Diploma, BSc)",Languages(),Asir,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone","Professional reasons, Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,No,,,"Police, Committee for the Promotion of Virtue and the Prevention of Vice",
Male,30-39,"Postgraduate (Masters, PhD)",Law,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Laptop,"Education, Social networks, Online services, Communication",Always,Always,Never,Always,Never,,,No,,,"Saudi eGovernment Portal , Saudi CERT, Police",
Male,30-39,"Postgraduate (Masters, PhD)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","   Desktop, Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,Yes,,I did not know how to describe or write reports about cyber crime,,I do not know who to write report about cyber crime
Male,30-39,"Undergraduate (Diploma, BSc)",Engineering,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Smartphone","Professional reasons, Education, Online services, Communication",Always,Always,Always,Always,Always,,,No,,,Saudi CERT,
Female,18-29,"Undergraduate (Diploma, BSc)",Islamic studies,Riyadh,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","   Desktop, Smartphone","Education, Social networks, Online services, Communication",Somtimes,Never,Do not know,Do not know,Do not know,,,No,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Languages,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Professional reasons, Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
Male,40-49,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Education,Always,Always,Always,Always,Always,,,No,,,Saudi eGovernment Portal,
Male,18-29,"Postgraduate (Masters, PhD)",Engineering,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Education, Social networks, Online services, Communication",Always,Always,Sometimes,Always,Never,,,Yes,,I feel it is waste of time,,Not sure
Female,30-39,"Postgraduate (Masters, PhD)",Education,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Somtimes,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
